container,implementation,n,operation,ns_per_op
flat_map,std::flat_map,1,build_insert,84.0462
flat_map,std::flat_map,1,hit_lookup,1.62239
flat_map,std::flat_map,1,miss_lookup,1.89924
flat_map,std::flat_map,1,iteration,0.844574
unordered_map,std::unordered_map,1,build_insert,124.738
unordered_map,std::unordered_map,1,hit_lookup,2.34995
unordered_map,std::unordered_map,1,miss_lookup,2.26736
unordered_map,std::unordered_map,1,iteration,0.469971
flat_map,std::flat_map,2,build_insert,83.6547
flat_map,std::flat_map,2,hit_lookup,2.2768
flat_map,std::flat_map,2,miss_lookup,1.73569
flat_map,std::flat_map,2,iteration,0.673199
unordered_map,std::unordered_map,2,build_insert,81.1025
unordered_map,std::unordered_map,2,hit_lookup,2.04239
unordered_map,std::unordered_map,2,miss_lookup,2.24819
unordered_map,std::unordered_map,2,iteration,0.404358
flat_map,std::flat_map,4,build_insert,80.2551
flat_map,std::flat_map,4,hit_lookup,2.58446
flat_map,std::flat_map,4,miss_lookup,2.2747
flat_map,std::flat_map,4,iteration,0.630856
unordered_map,std::unordered_map,4,build_insert,59.0944
unordered_map,std::unordered_map,4,hit_lookup,2.06938
unordered_map,std::unordered_map,4,miss_lookup,2.25115
unordered_map,std::unordered_map,4,iteration,0.357246
flat_map,std::flat_map,8,build_insert,63.1174
flat_map,std::flat_map,8,hit_lookup,3.40958
flat_map,std::flat_map,8,miss_lookup,3.10516
flat_map,std::flat_map,8,iteration,0.355911
unordered_map,std::unordered_map,8,build_insert,51.5021
unordered_map,std::unordered_map,8,hit_lookup,2.23722
unordered_map,std::unordered_map,8,miss_lookup,2.44379
unordered_map,std::unordered_map,8,iteration,0.466251
flat_map,std::flat_map,16,build_insert,46.5106
flat_map,std::flat_map,16,hit_lookup,4.36792
flat_map,std::flat_map,16,miss_lookup,4.35791
flat_map,std::flat_map,16,iteration,0.27256
unordered_map,std::unordered_map,16,build_insert,71.2326
unordered_map,std::unordered_map,16,hit_lookup,2.26803
unordered_map,std::unordered_map,16,miss_lookup,2.5754
unordered_map,std::unordered_map,16,iteration,0.609779
flat_map,std::flat_map,32,build_insert,36.3116
flat_map,std::flat_map,32,hit_lookup,5.7991
flat_map,std::flat_map,32,miss_lookup,5.23529
flat_map,std::flat_map,32,iteration,0.252056
unordered_map,std::unordered_map,32,build_insert,58.4726
unordered_map,std::unordered_map,32,hit_lookup,2.27041
unordered_map,std::unordered_map,32,miss_lookup,2.76728
unordered_map,std::unordered_map,32,iteration,0.889015
flat_map,std::flat_map,64,build_insert,32.1575
flat_map,std::flat_map,64,hit_lookup,6.83126
flat_map,std::flat_map,64,miss_lookup,6.42204
flat_map,std::flat_map,64,iteration,0.257874
unordered_map,std::unordered_map,64,build_insert,55.0535
unordered_map,std::unordered_map,64,hit_lookup,2.23465
unordered_map,std::unordered_map,64,miss_lookup,3.54328
unordered_map,std::unordered_map,64,iteration,1.34029
flat_map,std::flat_map,128,build_insert,36.5862
flat_map,std::flat_map,128,hit_lookup,10.8659
flat_map,std::flat_map,128,miss_lookup,9.8815
flat_map,std::flat_map,128,iteration,0.245953
unordered_map,std::unordered_map,128,build_insert,69.9944
unordered_map,std::unordered_map,128,hit_lookup,2.51884
unordered_map,std::unordered_map,128,miss_lookup,4.07572
unordered_map,std::unordered_map,128,iteration,1.72319
flat_map,std::flat_map,256,build_insert,41.1177
flat_map,std::flat_map,256,hit_lookup,9.86242
flat_map,std::flat_map,256,miss_lookup,10.3937
flat_map,std::flat_map,256,iteration,0.258255
unordered_map,std::unordered_map,256,build_insert,50.4799
unordered_map,std::unordered_map,256,hit_lookup,2.03848
unordered_map,std::unordered_map,256,miss_lookup,2.79636
unordered_map,std::unordered_map,256,iteration,1.60065
flat_map,std::flat_map,512,build_insert,50.2422
flat_map,std::flat_map,512,hit_lookup,12.6474
flat_map,std::flat_map,512,miss_lookup,13.5312
flat_map,std::flat_map,512,iteration,0.267506
unordered_map,std::unordered_map,512,build_insert,60.021
unordered_map,std::unordered_map,512,hit_lookup,2.25887
unordered_map,std::unordered_map,512,miss_lookup,2.35548
unordered_map,std::unordered_map,512,iteration,1.65758
flat_map,std::flat_map,1024,build_insert,67.487
flat_map,std::flat_map,1024,hit_lookup,13.1606
flat_map,std::flat_map,1024,miss_lookup,11.6897
flat_map,std::flat_map,1024,iteration,0.242805
unordered_map,std::unordered_map,1024,build_insert,77.2395
unordered_map,std::unordered_map,1024,hit_lookup,2.72942
unordered_map,std::unordered_map,1024,miss_lookup,3.08828
unordered_map,std::unordered_map,1024,iteration,2.02522
flat_map,std::flat_map,4096,build_insert,170.195
flat_map,std::flat_map,4096,hit_lookup,17.1762
flat_map,std::flat_map,4096,miss_lookup,15.4816
flat_map,std::flat_map,4096,iteration,0.23632
unordered_map,std::unordered_map,4096,build_insert,76.7867
unordered_map,std::unordered_map,4096,hit_lookup,4.82979
unordered_map,std::unordered_map,4096,miss_lookup,2.84529
unordered_map,std::unordered_map,4096,iteration,4.87604
